,ref_point_lat,ref_point_lon,objectid,fac_type,loc_id,region_code,state_name,county,fac_name,lat,lon,Jan,Feb,Mar,Apr,May,June,July,Aug,Sep,Oct,Nov,Dec
72,48-11-00.0000N,122-38-00.0000W,18486,AIRPORT,NRA,ANM,WASHINGTON,ISLAND,COUPEVILLE NOLF,48.18,-122.633,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
73,46-35-25.3710N,123-06-16.4780W,18489,AIRPORT,0WA2,ANM,WASHINGTON,LEWIS,CURTIS,46.59,-123.105,129.659,124.215,111.69600000000004,94.38700000000001,199.65999999999997,94.528,86.822,90.33,99.468,106.38299999999998,130.579,140.30200000000002
74,48-15-31.0050N,121-36-36.7330W,18490,AIRPORT,1S2,ANM,WASHINGTON,SNOHOMISH,DARRINGTON MUNI,48.26,-121.61,108.47300000000001,103.751,91.498,76.463,158.17899999999997,71.43599999999999,63.788000000000004,64.91499999999999,72.747,85.977,111.74099999999996,117.83300000000001
75,47-39-12.8000N,118-10-07.6000W,18493,AIRPORT,68S,ANM,WASHINGTON,LINCOLN,DAVENPORT,47.65,-118.169,156.84700000000004,167.96400000000003,151.57300000000004,165.99699999999999,307.42400000000004,136.42800000000003,139.55900000000003,135.89100000000002,127.70500000000001,151.56300000000002,155.35100000000003,139.749
76,47-51-03.5680N,118-19-48.9560W,18494,AIRPORT,73WA,ANM,WASHINGTON,LINCOLN,7 BAYS,47.85,-118.33,156.84700000000004,167.96400000000003,151.57300000000004,165.99699999999999,307.42400000000004,136.42800000000003,139.55900000000003,135.89100000000002,127.70500000000001,151.56300000000002,155.35100000000003,139.749
77,48-29-59.4000N,122-48-49.6000W,18495,AIRPORT,WN07,ANM,WASHINGTON,SAN JUAN,DECATUR SHORES,48.5,-122.814,140.79999999999998,134.00099999999998,121.12599999999999,90.28199999999998,196.096,90.64699999999999,81.64099999999999,87.80099999999999,84.06300000000002,111.59400000000001,141.33999999999997,146.12600000000003
78,48-30-36.3660N,122-48-10.6400W,18496,AIRPORT,WA18,ANM,WASHINGTON,SAN JUAN,DECATUR /JONES/,48.51,-122.803,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
79,47-58-01.4000N,117-25-42.9000W,18497,AIRPORT,DEW,ANM,WASHINGTON,SPOKANE,DEER PARK,47.97,-117.429,129.34800000000004,140.07,133.82199999999997,142.4,264.01699999999994,122.62599999999999,123.657,124.44999999999996,116.79500000000004,138.195,138.00200000000004,120.95199999999998
80,47-50-29.6100N,117-26-48.7950W,18498,AIRPORT,WN14,ANM,WASHINGTON,SPOKANE,PETE'S,47.84,-117.447,129.34800000000004,140.07,133.82199999999997,142.4,264.01699999999994,122.62599999999999,123.657,124.44999999999996,116.79500000000004,138.195,138.00200000000004,120.95199999999998
81,47-57-25.0000N,117-36-13.0000W,18499,AIRPORT,WA52,ANM,WASHINGTON,STEVENS,DEER FLAT,47.96,-117.604,143.85199999999998,157.20399999999998,145.60699999999997,156.18299999999996,291.0420000000001,132.094,133.69699999999997,131.648,124.20299999999997,147.648,149.98600000000002,131.42300000000003
82,47-53-40.3300N,117-26-23.3100W,18500,AIRPORT,WT21,ANM,WASHINGTON,SPOKANE,RADIAL FLYER,47.89,-117.44,129.34800000000004,140.07,133.82199999999997,142.4,264.01699999999994,122.62599999999999,123.657,124.44999999999996,116.79500000000004,138.195,138.00200000000004,120.95199999999998
83,48-50-05.4160N,122-15-51.5690W,18501,AIRPORT,4WA8,ANM,WASHINGTON,WHATCOM,RIVERSIDE,48.83,-122.264,126.97199999999998,111.54000000000002,103.338,85.07099999999998,163.43199999999996,75.19500000000001,67.49600000000001,67.04100000000001,77.90900000000002,97.279,125.49,127.48000000000002
84,47-59-43.0000N,122-53-59.0000W,18503,AIRPORT,WA45,ANM,WASHINGTON,JEFFERSON,OLYMPIC FIELD,48.0,-122.9,120.70899999999999,119.45100000000004,109.36600000000003,89.21300000000001,184.37100000000007,84.004,75.80000000000001,80.92500000000001,88.943,107.98100000000002,132.12,129.053
85,47-15-15.0620N,121-11-07.9140W,18504,AIRPORT,ESW,ANM,WASHINGTON,KITTITAS,EASTON STATE,47.25,-121.186,103.87799999999999,140.941,116.03700000000002,123.085,244.82299999999992,122.582,116.53199999999998,120.97599999999998,107.44500000000002,130.55,121.06199999999998,120.44
86,48-42-30.0000N,122-54-38.1000W,18505,AIRPORT,ORS,ANM,WASHINGTON,SAN JUAN,ORCAS ISLAND,48.71,-122.911,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
87,48-42-42.3720N,123-01-05.6710W,18506,AIRPORT,90WA,ANM,WASHINGTON,SAN JUAN,WALDRON AIRSTRIP,48.71,-123.018,152.916,141.97299999999998,122.33600000000001,95.44099999999999,193.76399999999998,91.23500000000001,83.10400000000003,83.78199999999998,85.28,114.78400000000002,144.91099999999997,150.89399999999998
